naslov,izvajalec,url,kljuc,bpm,capo,leto,zanr,uporabljeni_akordi,zaporedje_akordov,stevilo_razlicnih_akordov,dolzina_zaporedja
I'm With You,Avril Lavigne,https://guitartuna.com/chords/im-with-you-avril-lavigne-easy-guitar-chords-61c1eed02656a3cdf92d982f,A major,76,2,2002,Rock,"['A', 'Bm', 'D', 'F#m', 'E', 'C#m']","['A', 'Bm', 'D', 'A', 'Bm', 'D', 'A', 'Bm', 'D', 'A', 'Bm', 'D', 'F#m', 'D', 'F#m', 'D', 'F#m', 'D', 'F#m', 'D', 'E', 'Bm', 'E', 'D', 'A', 'Bm', 'D', 'A', 'Bm', 'D', 'A', 'Bm', 'D', 'F#m', 'E', 'D', 'F#m', 'D', 'F#m', 'D', 'F#m', 'D', 'F#m', 'D', 'F#m', 'D', 'F#m', 'D', 'E', 'Bm', 'E', 'D', 'A', 'Bm', 'D', 'A', 'Bm', 'D', 'A', 'Bm', 'D', 'F#m', 'E', 'D', 'F#m', 'D', 'F#m', 'D', 'E', 'Bm', 'E', 'Bm', 'E', 'D', 'C#m', 'E', 'A', 'Bm', 'D', 'A', 'Bm', 'D', 'A', 'Bm', 'D', 'F#m', 'E', 'D', 'A', 'Bm', 'D', 'A', 'Bm', 'D', 'A', 'Bm', 'D', 'F#m', 'E', 'D', 'A', 'Bm', 'D', 'A', 'Bm', 'D', 'A', 'Bm', 'D', 'F#m', 'E', 'D', 'F#m', 'D', 'F#m', 'D', 'A']",6,117
Send My Love (To Your New Lover),Adele,https://guitartuna.com/chords/send-my-love-to-your-new-lover-adele-easy-guitar-chords-611cba4e9b963abc576ab66b,D major,82,2,2015,Pop,"['D', 'Bm']","['D', 'D', 'Bm', 'Bm', 'D', 'Bm', 'D', 'D', 'Bm', 'D', 'Bm', 'D', 'Bm', 'D', 'Bm', 'D', 'D', 'Bm', 'D', 'D', 'Bm', 'D', 'Bm', 'D', 'Bm', 'D', 'Bm', 'D', 'Bm', 'D', 'Bm', 'D', 'Bm', 'D', 'Bm', 'D', 'Bm', 'D', 'Bm', 'D', 'Bm']",2,41
Arabella,Arctic Monkeys,https://guitartuna.com/chords/arabella-arctic-monkeys-easy-guitar-chords-61c75f81e112a27939f24ba8,E minor,92,0,2013,Rock,"['Em', 'Am', 'G', 'Bm', 'C', 'D', 'D#']","['Em', 'Am', 'G', 'Em', 'Am', 'G', 'Em', 'Am', 'G', 'Em', 'Am', 'G', 'Em', 'Am', 'G', 'Em', 'Am', 'G', 'Em', 'Am', 'G', 'Em', 'Am', 'G', 'Em', 'Am', 'G', 'Em', 'Am', 'G', 'Em', 'Am', 'G', 'Em', 'Em', 'G', 'Em', 'Am', 'Em', 'G', 'Em', 'Bm', 'Em', 'G', 'Em', 'Am', 'Em', 'G', 'Em', 'Bm', 'Em', 'G', 'Em', 'Am', 'Em', 'G', 'Em', 'Bm', 'Em', 'G', 'Em', 'Am', 'Em', 'G', 'Em', 'Bm', 'Em', 'Am', 'G', 'Em', 'Am', 'G', 'Em', 'Am', 'G', 'Em', 'Am', 'G', 'Em', 'Am', 'G', 'Em', 'Am', 'G', 'Em', 'Am', 'G', 'Em', 'Am', 'G', 'Em', 'Am', 'G', 'Em', 'Am', 'Em', 'G', 'Em', 'Am', 'Em', 'G', 'Em', 'Bm', 'Em', 'G', 'Em', 'Am', 'Em', 'G', 'Em', 'Bm', 'Em', 'G', 'Em', 'Am', 'Em', 'G', 'Em', 'Bm', 'Em', 'G', 'Em', 'Am', 'Em', 'G', 'Em', 'Bm', 'C', 'Am', 'Em', 'G', 'C', 'Am', 'C', 'D', 'D#', 'Em', 'Em', 'Em', 'Em', 'Em', 'G', 'Em', 'Am', 'Em', 'G', 'Em', 'Bm', 'Em', 'G', 'Em', 'Am', 'Em', 'G', 'Em', 'Bm', 'Em']",7,157
La guerra di Piero,Fabrizio De André,https://guitartuna.com/chords/la-guerra-di-piero-fabrizio-de-andre-easy-guitar-chords-61dc53015519d7cb78e17525,A minor,144,0,1964,Folk,"['Am', 'Em', 'E', 'G', 'C', 'Dm']","['Am', 'Am', 'Am', 'Em', 'Am', 'Am', 'Am', 'Em', 'Am', 'E', 'Am', 'G', 'C', 'E', 'Am', 'Dm', 'E', 'Am', 'E', 'Am', 'Dm', 'Am', 'G', 'C', 'E', 'Am', 'E', 'Am', 'Dm', 'Am', 'G', 'C', 'E', 'Am', 'Dm', 'Am', 'Dm', 'E', 'E', 'Am', 'E', 'Am', 'G', 'C', 'E', 'Am', 'Dm', 'E', 'Am', 'E', 'Am', 'Dm', 'Am', 'G', 'C', 'E', 'Am', 'E', 'Am', 'Dm', 'Am', 'G', 'C', 'E', 'Am', 'Dm', 'Am', 'Dm', 'E', 'E', 'Am', 'E', 'Am', 'G', 'C', 'E', 'Am', 'Dm', 'E', 'Am', 'E', 'Am', 'Dm', 'Am', 'G', 'C', 'E', 'Am', 'E', 'Am', 'Dm', 'Am', 'G', 'C', 'E', 'Am', 'Dm', 'Am', 'Dm', 'E', 'E', 'Am', 'E', 'Am', 'G', 'C', 'E', 'Am', 'Dm', 'E', 'Am', 'E', 'Am', 'G', 'C', 'E', 'Am', 'Dm', 'E', 'Am', 'E', 'Am', 'Dm', 'Am', 'G', 'C', 'E', 'Am', 'E', 'Am', 'Dm', 'Am', 'G', 'C', 'E', 'Am', 'Dm', 'Am', 'Dm', 'E', 'E', 'Am', 'E', 'Am', 'G', 'C', 'E', 'Am', 'Dm', 'E', 'Am']",6,151
Your Guardian Angel,The Red Jumpsuit Apparatus,https://guitartuna.com/chords/your-guardian-angel-the-red-jumpsuit-apparatus-easy-guitar-chords-610a50244db3583db2693021,F major,85,5,2006,Alternative,"['F', 'C', 'Dm', 'A#']","['F', 'C', 'C', 'Dm', 'Dm', 'A#', 'C', 'F', 'C', 'Dm', 'A#', 'F', 'C', 'Dm', 'A#', 'F', 'C', 'Dm', 'A#', 'F', 'C', 'Dm', 'A#', 'F', 'C', 'Dm', 'A#', 'F', 'C', 'Dm', 'A#', 'F', 'C', 'Dm', 'A#', 'C', 'F', 'C', 'Dm', 'A#', 'F', 'C', 'Dm', 'A#', 'F', 'C', 'Dm', 'A#', 'F', 'C', 'Dm', 'A#', 'F', 'C', 'Dm', 'A#', 'C', 'F', 'C', 'Dm', 'A#', 'C', 'F', 'C', 'Dm', 'A#', 'C', 'F', 'C', 'Dm', 'A#', 'F', 'C', 'Dm', 'A#', 'F', 'C', 'Dm', 'A#', 'F', 'C', 'Dm', 'A#', 'F', 'C', 'Dm', 'A#', 'F', 'C', 'Dm', 'A#']",4,91
Let It Go,James Bay,https://guitartuna.com/chords/let-it-go-james-bay-easy-guitar-chords-61c1ed1c206c0946816df607,Db major,74,1,2015,Pop,"['C#', 'F#', 'A#m', 'G#', 'D#', 'D#m']","['C#', 'F#', 'A#m', 'G#', 'C#', 'F#', 'A#m', 'G#', 'C#', 'F#', 'A#m', 'G#', 'C#', 'F#', 'A#m', 'G#', 'C#', 'F#', 'A#m', 'G#', 'C#', 'F#', 'A#m', 'G#', 'A#m', 'C#', 'D#', 'F#', 'A#m', 'C#', 'D#', 'F#', 'C#', 'A#m', 'G#', 'D#m', 'C#', 'G#', 'F#', 'C#', 'A#m', 'G#', 'D#m', 'C#', 'G#', 'C#', 'F#', 'A#m', 'G#', 'C#', 'F#', 'A#m', 'G#', 'C#', 'F#', 'A#m', 'G#', 'C#', 'F#', 'A#m', 'G#', 'C#', 'F#', 'A#m', 'G#', 'C#', 'F#', 'A#m', 'G#', 'A#m', 'C#', 'D#', 'F#', 'A#m', 'C#', 'D#', 'F#', 'C#', 'A#m', 'G#', 'D#m', 'C#', 'G#', 'F#', 'C#', 'A#m', 'G#', 'D#m', 'C#', 'G#', 'C#', 'F#', 'A#m', 'G#', 'C#', 'F#', 'A#m', 'G#', 'D#m', 'C#', 'G#', 'A#m', 'D#m', 'C#', 'G#', 'A#m', 'F#', 'C#', 'A#m', 'G#', 'D#m', 'C#', 'G#', 'F#', 'C#', 'A#m', 'G#', 'D#m', 'C#', 'G#', 'F#', 'C#', 'A#m', 'G#', 'D#m', 'C#', 'G#', 'C#', 'F#', 'A#m', 'G#', 'C#', 'F#', 'A#m', 'G#', 'C#']",6,136
A Kind Of Magic ,Queen,https://guitartuna.com/chords/a-kind-of-magic-queen-easy-guitar-chords-621f7f0150cb7457161f9557,A major,130,2,1986,Rock,"['A', 'B', 'D', 'F#m', 'E', 'G']","['A', 'A', 'B', 'D', 'A', 'A', 'B', 'D', 'A', 'A', 'B', 'D', 'A', 'F#m', 'D', 'F#m', 'E', 'D', 'A', 'D', 'A', 'E', 'G', 'D', 'E', 'A', 'B', 'D', 'A', 'A', 'B', 'D', 'A', 'D', 'D', 'A', 'A', 'D', 'D', 'A', 'A', 'D', 'D', 'A', 'A', 'D', 'D', 'A', 'A', 'E', 'G', 'D', 'E', 'D', 'A', 'D', 'A', 'E', 'G', 'D', 'E', 'D', 'A', 'D', 'A', 'D', 'D', 'A', 'A', 'D', 'D', 'A', 'A', 'D', 'D', 'A', 'A', 'D', 'D', 'A', 'A', 'D', 'D', 'A', 'A', 'D', 'D', 'A', 'A', 'D', 'D', 'A', 'A']",6,93
Aerials,System Of A Down,https://guitartuna.com/chords/aerials-system-of-a-down-easy-guitar-chords-61c362edb2f4549568743db8,C minor,80,3,2001,Metal,"['F', 'Em', 'E', 'Am', 'D', 'C', 'Bm', 'B', 'Dm']","['F', 'Em', 'E', 'Am', 'E', 'Am', 'Em', 'Am', 'D', 'Am', 'F', 'Am', 'D', 'Am', 'C', 'Am', 'Bm', 'Am', 'F', 'Am', 'D', 'Am', 'C', 'Am', 'Bm', 'Am', 'F', 'Am', 'D', 'Am', 'C', 'Am', 'Bm', 'Am', 'F', 'Am', 'B', 'Am', 'F', 'Am', 'Am', 'C', 'B', 'Bm', 'C', 'Am', 'F', 'Am', 'F', 'Am', 'D', 'Am', 'C', 'Am', 'Bm', 'Am', 'F', 'Am', 'D', 'Am', 'C', 'Am', 'Bm', 'Am', 'F', 'Am', 'Dm', 'Am', 'C', 'Am', 'Bm', 'Am', 'F', 'E', 'Em', 'C', 'Am', 'D', 'C', 'Bm', 'C', 'E', 'F', 'E', 'C', 'Am', 'C', 'Am', 'D', 'C', 'Bm', 'C', 'E', 'F', 'E', 'C', 'Am', 'C', 'Am', 'D', 'C', 'Bm', 'C', 'E', 'F', 'E', 'C', 'Am', 'B', 'Am', 'F', 'Am', 'C', 'Am', 'F', 'Am', 'Am', 'C', 'B', 'Am', 'F', 'C', 'Am', 'C', 'B', 'Am', 'F', 'C']",9,128
Call Out My Name,The Weeknd,https://guitartuna.com/chords/call-out-my-name-the-weeknd-easy-guitar-chords-61c1ef572656a3cdf92d9933,Eb minor,68,6,2018,R&B,"['G#m', 'D#m']","['G#m', 'D#m', 'G#m', 'D#m', 'G#m', 'D#m', 'G#m', 'D#m', 'G#m', 'D#m', 'G#m', 'D#m', 'G#m', 'D#m', 'G#m', 'D#m', 'G#m', 'D#m', 'G#m', 'D#m', 'G#m', 'D#m', 'G#m', 'D#m', 'G#m', 'D#m', 'G#m', 'D#m', 'G#m', 'D#m', 'G#m', 'D#m', 'G#m', 'D#m', 'G#m', 'D#m', 'G#m', 'D#m', 'G#m', 'D#m', 'G#m', 'D#m']",2,42
House Of Memories,Panic! At The Disco And Dylan Schwab,https://guitartuna.com/chords/house-of-memories-panic-at-the-disco-and-dylan-schwab-easy-guitar-chords-61e72ad705976fb273d140d3,F# minor,110,2,2016,Pop,"['F#m', 'Bm', 'E', 'A', 'D', 'C#', 'C#m']","['F#m', 'Bm', 'E', 'A', 'F#m', 'Bm', 'E', 'A', 'D', 'Bm', 'C#', 'F#m', 'Bm', 'E', 'A', 'D', 'Bm', 'C#', 'F#m', 'D', 'A', 'C#', 'F#m', 'D', 'A', 'C#', 'F#m', 'D', 'A', 'C#', 'D', 'C#', 'F#m', 'D', 'A', 'C#m', 'F#m', 'D', 'A', 'C#m', 'F#m', 'Bm', 'E', 'A', 'D', 'Bm', 'C#', 'F#m', 'D', 'A', 'C#', 'F#m', 'D', 'A', 'C#', 'F#m', 'D', 'A', 'C#', 'D', 'C#', 'F#m', 'D', 'A', 'C#m', 'F#m', 'D', 'A', 'C#m', 'F#m', 'D', 'F#m', 'D', 'F#m', 'A', 'D', 'F#m', 'A', 'D', 'F#m', 'A', 'D', 'D', 'C#', 'F#m', 'D', 'A', 'C#', 'F#m', 'D', 'A', 'C#', 'F#m', 'D', 'A', 'C#', 'D', 'C#', 'F#m', 'D', 'A', 'C#', 'F#m', 'D', 'A', 'C#', 'F#m', 'D', 'A', 'C#', 'D', 'C#', 'F#m', 'D', 'A', 'C#m', 'F#m', 'D', 'A', 'C#m', 'F#m', 'D', 'A', 'C#m', 'F#m', 'D', 'A', 'C#m']",7,128
Always On My Mind,Elvis Presley,https://guitartuna.com/chords/always-on-my-mind-elvis-presley-easy-guitar-chords-61c8ec4af2c269f8325ec016,G major,92,0,1973,Country,"['G', 'D', 'Em', 'C', 'A', 'Am']","['G', 'G', 'G', 'D', 'Em', 'D', 'C', 'D', 'G', 'D', 'Em', 'D', 'A', 'C', 'G', 'C', 'G', 'Am', 'D', 'G', 'C', 'D', 'G', 'C', 'D', 'G', 'D', 'Em', 'D', 'C', 'D', 'G', 'D', 'Em', 'D', 'A', 'C', 'G', 'C', 'G', 'Am', 'D', 'G', 'C', 'D', 'G', 'C', 'D', 'G', 'D', 'Em', 'D', 'C', 'G', 'Am', 'D', 'G', 'D', 'Em', 'D', 'C', 'G', 'Am', 'D', 'G', 'D', 'Em', 'G', 'A', 'C', 'G', 'C', 'G', 'Am', 'D', 'G', 'C', 'D', 'G', 'D', 'Em', 'D', 'C', 'G', 'Am', 'D', 'G', 'G', 'G', 'D', 'Em', 'D', 'C', 'D', 'G', 'D', 'Em', 'D', 'C', 'D', 'G', 'D', 'Em', 'D', 'C', 'D', 'G', 'D', 'Em', 'D', 'C', 'D']",6,112
Ghost Riders In The Sky,Johnny Cash,https://guitartuna.com/chords/ghost-riders-in-the-sky-johnny-cash-easy-guitar-chords-61c1eeed2656a3cdf92d9866,Bb minor,110,1,1979,Country,"['Am', 'C', 'F', 'Dm']","['Am', 'Am', 'Am', 'Am', 'Am', 'Am', 'C', 'Am', 'Am', 'F', 'Dm', 'Am', 'Am', 'C', 'Am', 'Am', 'F', 'Dm', 'Am', 'C', 'Am', 'F', 'Am', 'Am', 'C', 'C', 'Am', 'Am', 'Am', 'Am', 'Am', 'F', 'F', 'Dm', 'Am', 'Am', 'Am', 'C', 'Am', 'Am', 'F', 'Dm', 'Am', 'Am', 'C', 'Am', 'Am', 'F', 'Dm', 'Am', 'C', 'Am', 'F', 'Am', 'F', 'Am', 'F', 'Am', 'Am', 'Am', 'Am', 'Am']",4,62
Culpable tú,Alta Consigna,https://guitartuna.com/chords/culpable-tu-alta-consigna-easy-guitar-chords-61d3181d4229a97348fea159,D major,136,2,2016,World,"['Bm', 'F#m', 'G', 'Em', 'A', 'D', 'F#']","['Bm', 'Bm', 'Bm', 'Bm', 'F#m', 'F#m', 'F#m', 'F#m', 'G', 'G', 'Em', 'Em', 'A', 'A', 'D', 'D', 'D', 'D', 'D', 'D', 'A', 'G', 'F#m', 'Em', 'A', 'Bm', 'F#m', 'G', 'F#m', 'Em', 'A', 'D', 'F#m', 'F#', 'Bm', 'G', 'A', 'D', 'F#m', 'F#', 'Bm', 'G', 'A', 'G', 'A', 'Bm', 'Bm', 'Bm', 'Bm', 'F#m', 'F#m', 'F#m', 'F#m', 'G', 'F#m', 'Em', 'Em', 'A', 'A', 'A', 'A', 'D', 'D', 'D', 'A', 'D', 'F#', 'Bm', 'F#m', 'G', 'F#m', 'Em', 'A', 'D', 'F#m', 'F#', 'Bm', 'G', 'A', 'D', 'F#m', 'F#', 'Bm', 'G', 'A', 'G', 'A', 'G', 'A', 'D', 'G', 'A', 'D']",7,93
Ain't No Mountain High Enough,"Marvin Gaye, Tammi Terrell",https://guitartuna.com/chords/aint-no-mountain-high-enough-marvin-gaye-tammi-terrell-easy-guitar-chords-60c093054ba713fef7ada8fd,B minor,130,2,1967,Pop,"['Bm', 'E', 'G', 'Em', 'F#m', 'A', 'F#', 'G#', 'A#', 'Cm', 'F', 'Fm', 'Gm']","['Bm', 'E', 'G', 'Bm', 'Em', 'Bm', 'E', 'G', 'Bm', 'Em', 'Bm', 'E', 'G', 'Bm', 'Em', 'Bm', 'E', 'G', 'Bm', 'Em', 'F#m', 'G', 'Em', 'F#m', 'Bm', 'G', 'Em', 'F#m', 'Bm', 'G', 'Em', 'F#m', 'Bm', 'E', 'G', 'Bm', 'E', 'G', 'Bm', 'Em', 'Bm', 'E', 'G', 'Bm', 'Em', 'F#m', 'G', 'Em', 'F#m', 'Bm', 'G', 'Em', 'F#m', 'Bm', 'G', 'Em', 'F#m', 'Bm', 'E', 'G', 'G', 'A', 'F#', 'Bm', 'G', 'G', 'A', 'G#', 'A#', 'Cm', 'F', 'G#', 'Cm', 'Fm', 'Cm', 'F', 'G#', 'Cm', 'Fm', 'Gm', 'G#', 'Fm', 'Gm', 'Cm', 'G#', 'Fm', 'Gm', 'Cm', 'G#', 'Fm', 'Gm', 'Cm', 'F', 'G#', 'G#', 'Fm', 'Gm', 'Cm', 'G#', 'Fm', 'Gm', 'Cm', 'G#', 'Fm', 'Gm', 'Cm']",13,106
That's Why (You Go Away),Michael Learns To Rock,https://guitartuna.com/chords/thats-why-you-go-away-michael-learns-to-rock-easy-guitar-chords-6153041c6c3cc0a6bc118771,G major,63,0,1995,Rock,"['C', 'D', 'G', 'Am', 'B', 'Em', 'A', 'D#', 'F', 'A#', 'Cm', 'Gm']","['C', 'D', 'G', 'Am', 'D', 'G', 'Am', 'B', 'Em', 'Am', 'D', 'G', 'A', 'D', 'G', 'Am', 'D', 'G', 'Am', 'B', 'Em', 'Am', 'D', 'G', 'A', 'D', 'G', 'C', 'D', 'G', 'Am', 'D', 'G', 'C', 'D', 'Em', 'Am', 'D', 'G', 'Am', 'D', 'G', 'Am', 'B', 'Em', 'Am', 'D', 'G', 'A', 'D', 'G', 'C', 'D', 'G', 'Am', 'D', 'G', 'C', 'D', 'Em', 'Am', 'D', 'G', 'D#', 'F', 'A#', 'Cm', 'D', 'Gm', 'D#', 'F', 'A#', 'Cm', 'D', 'Gm', 'C', 'F', 'G', 'C', 'D', 'G', 'Am', 'D', 'G', 'C', 'D', 'G', 'Am', 'D', 'G', 'C', 'D', 'Em', 'Am', 'D', 'G', 'Am', 'D', 'G']",12,99
"Baby, I Love Your Way",Peter Frampton,https://guitartuna.com/chords/baby-i-love-your-way-peter-frampton-easy-guitar-chords-61111e13d64c626b79e9d36c,G major,74,0,1976,Pop,"['G', 'D', 'Em', 'C', 'Bm', 'Am', 'F', 'E']","['G', 'D', 'Em', 'C', 'Bm', 'Am', 'D', 'G', 'D', 'Em', 'C', 'F', 'G', 'D', 'Em', 'C', 'F', 'Bm', 'E', 'Am', 'D', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Em', 'C', 'Bm', 'Am', 'D', 'G', 'D', 'Em', 'C', 'F', 'G', 'D', 'Em', 'C', 'F', 'Bm', 'E', 'Am', 'D', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Em', 'C', 'F', 'G', 'D', 'Em', 'C', 'F', 'Bm', 'E', 'Am', 'D', 'G', 'D', 'Em', 'C', 'F', 'G', 'D', 'Em', 'C', 'F', 'Bm', 'E', 'Am', 'D', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Em', 'C', 'G']",8,123
Yo quisiera,Reik,https://guitartuna.com/chords/yo-quisiera-reik-easy-guitar-chords-61dc90967e2a63a47c2b99f1,A major,79,2,2005,Pop,"['A', 'D', 'Bm', 'E', 'C#m']","['A', 'D', 'A', 'D', 'A', 'D', 'Bm', 'E', 'A', 'D', 'Bm', 'E', 'D', 'C#m', 'Bm', 'A', 'D', 'C#m', 'Bm', 'E', 'D', 'C#m', 'Bm', 'A', 'D', 'C#m', 'Bm', 'A', 'D', 'C#m', 'Bm', 'A', 'A', 'D', 'Bm', 'E', 'D', 'C#m', 'Bm', 'A', 'D', 'C#m', 'Bm', 'E', 'D', 'C#m', 'Bm', 'A', 'D', 'C#m', 'Bm', 'A', 'D', 'C#m', 'Bm', 'A', 'D', 'C#m', 'Bm', 'A', 'D', 'C#m', 'Bm', 'A', 'D', 'C#m', 'Bm', 'A']",5,68
Too Good At Goodbyes,Sam Smith,https://guitartuna.com/chords/too-good-at-goodbyes-sam-smith-easy-guitar-chords-61c1ed25206c0946816df618,D minor,92,5,2017,Pop,"['Dm', 'F', 'C', 'Gm']","['Dm', 'F', 'C', 'Gm', 'Dm', 'F', 'C', 'Gm', 'Dm', 'F', 'C', 'Gm', 'Dm', 'F', 'C', 'Gm', 'Dm', 'F', 'C', 'Gm', 'Dm', 'F', 'C', 'Gm', 'Dm', 'F', 'C', 'Gm', 'Dm', 'F', 'C', 'Gm', 'Dm', 'F', 'C', 'Gm', 'Dm', 'F', 'C', 'Gm', 'Dm', 'F', 'C', 'Gm', 'Dm', 'F', 'C', 'Gm', 'Dm', 'F', 'C', 'Gm', 'Dm', 'F', 'C', 'Gm', 'Dm', 'F', 'C', 'Gm', 'Dm', 'F', 'C', 'Gm', 'Dm', 'F', 'C', 'Gm', 'Dm', 'F', 'C', 'Gm', 'Dm', 'F', 'C', 'Gm']",4,76
Leaves,Ben&Ben,https://guitartuna.com/chords/leaves-benben-easy-guitar-chords-61de5ce3adcb992ac4ebd182,F# major,59,6,2017,Pop,"['F#', 'B', 'D#m', 'G#', 'C#', 'G#m', 'A', 'E', 'Am', 'Bm', 'C', 'D', 'G']","['F#', 'B', 'F#', 'B', 'F#', 'B', 'F#', 'B', 'F#', 'B', 'F#', 'B', 'D#m', 'G#', 'C#', 'F#', 'B', 'F#', 'B', 'B', 'F#', 'C#', 'F#', 'B', 'B', 'F#', 'C#', 'G#m', 'F#', 'B', 'F#', 'B', 'F#', 'B', 'F#', 'B', 'F#', 'B', 'F#', 'B', 'F#', 'B', 'D#m', 'G#', 'C#', 'F#', 'B', 'F#', 'B', 'B', 'F#', 'C#', 'F#', 'B', 'B', 'F#', 'C#', 'G#m', 'F#', 'B', 'A', 'E', 'A', 'E', 'A', 'E', 'Am', 'Bm', 'C', 'D', 'G', 'C', 'C', 'G', 'D', 'G', 'C', 'C', 'G', 'D', 'G', 'C', 'C', 'G', 'D', 'G', 'C', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'Am', 'G', 'C', 'G', 'C', 'G', 'C', 'G']",13,107
The Dance,Garth Brooks,https://guitartuna.com/chords/the-dance-garth-brooks-easy-guitar-chords-6152ecbc6c3cc0a6bc114a00,G major,62,7,1990,Country,"['Em', 'C', 'D', 'G', 'Bm']","['Em', 'C', 'D', 'G', 'G', 'G', 'C', 'D', 'G', 'D', 'G', 'C', 'D', 'C', 'D', 'C', 'D', 'Bm', 'C', 'D', 'C', 'D', 'Bm', 'C', 'D', 'G', 'G', 'G', 'C', 'D', 'G', 'D', 'G', 'C', 'D', 'C', 'D', 'C', 'D', 'Bm', 'C', 'D', 'C', 'D', 'Bm', 'C', 'D', 'G', 'C', 'D', 'Bm', 'C', 'D', 'Em', 'C', 'D', 'Em']",5,57
Joy To The World,Misc Christmas,https://guitartuna.com/chords/joy-to-the-world-misc-christmas-easy-guitar-chords-61c1ee2f2656a3cdf92d96fe,C major,63,0,1926,Christmas,"['F', 'G', 'C']","['F', 'G', 'C', 'C', 'G', 'C', 'F', 'G', 'C', 'C', 'C', 'G', 'C', 'G', 'C', 'C', 'G', 'C', 'F', 'G', 'C', 'C', 'C', 'G', 'C', 'G', 'C', 'C', 'G', 'C', 'F', 'G', 'C', 'C', 'C', 'G', 'C', 'G', 'C', 'C', 'G', 'C', 'F', 'G', 'C', 'C', 'C', 'G', 'C', 'G', 'C']",3,51
Having You Near Me,Air Supply,https://guitartuna.com/chords/having-you-near-me-air-supply-easy-guitar-chords-61c1f2572656a3cdf92d9f06,C major,57,0,1980,Pop,"['F', 'G', 'C', 'Em', 'Am', 'Dm']","['F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'Em', 'Am', 'F', 'G', 'Em', 'F', 'C', 'G', 'F', 'G', 'Em', 'Am', 'F', 'G', 'Em', 'Am', 'G', 'F', 'G', 'C', 'Em', 'Dm', 'Am', 'F', 'G', 'C', 'Em', 'Dm', 'Am', 'F', 'G', 'C', 'F', 'G', 'Em', 'Am', 'F', 'G', 'Em', 'F', 'C', 'G', 'F', 'G', 'Em', 'Am', 'F', 'G', 'Em', 'Am', 'G', 'F', 'G', 'C', 'Em', 'Dm', 'Am', 'F', 'G', 'C', 'Em', 'Dm', 'Am', 'F', 'G', 'C', 'F', 'G', 'Em', 'Am', 'G', 'F', 'G', 'C', 'Em', 'Dm', 'Am', 'F', 'G', 'C', 'Em', 'Dm', 'Am', 'F', 'G', 'C']",6,94
Perfect Day,Lou Reed,https://guitartuna.com/chords/perfect-day-lou-reed-easy-guitar-chords-60d08437a6e5ccfc032556fe,Bb minor,72,1,1972,Pop,"['F', 'A#m', 'D#', 'G#', 'C#', 'F#', 'D#m', 'A#', 'Dm', 'Gm']","['F', 'A#m', 'F', 'A#m', 'A#m', 'D#', 'G#', 'C#', 'F#', 'D#m', 'F', 'A#m', 'D#', 'G#', 'C#', 'F#', 'D#m', 'F', 'A#', 'D#', 'Dm', 'D#', 'A#', 'F', 'Gm', 'F', 'D#', 'Gm', 'F', 'D#', 'D#', 'A#m', 'D#', 'G#', 'C#', 'F#', 'D#m', 'F', 'A#m', 'D#', 'G#', 'C#', 'F#', 'D#m', 'F', 'A#', 'D#', 'Dm', 'D#', 'A#', 'F', 'Gm', 'F', 'D#', 'Gm', 'F', 'D#', 'Gm', 'F', 'D#', 'Gm', 'F', 'D#', 'Gm', 'F', 'D#', 'Dm', 'G#', 'D#', 'A#', 'Dm', 'G#', 'D#', 'A#', 'Dm', 'G#', 'D#', 'A#', 'Dm', 'G#', 'D#', 'A#', 'Dm', 'G#', 'D#', 'A#', 'Dm', 'G#', 'D#', 'A#']",10,90
